num_ants	num_iterations	alpha	beta	evaporation_rate	pheromone_deposit	best_cost	execution_time
20	50	1.0	2.0	0.5	100	74	3.2432050704956055
10	100	1.0	2.0	0.5	50	74	3.3031396865844727
10	50	1.0	2.0	0.3	100	74	1.6416130065917969
20	100	1.0	1.0	0.5	100	75	6.453637361526489
20	50	1.0	2.0	0.3	100	75	3.266150712966919
20	100	1.0	2.0	0.5	100	76	6.558107852935791
20	100	1.0	2.0	0.3	50	76	6.6801886558532715
20	100	1.0	2.0	0.5	50	76	6.557602643966675
20	100	1.0	2.0	0.3	100	78	6.640887975692749
20	50	1.0	2.0	0.5	50	78	3.2866945266723633
10	100	1.0	2.0	0.3	100	78	3.2780323028564453
20	100	1.0	1.0	0.5	50	79	6.329532146453857
20	50	1.0	1.0	0.3	50	80	3.234818696975708
10	50	1.0	2.0	0.5	100	80	1.6492326259613037
10	100	1.0	2.0	0.5	100	80	3.359193801879883
10	50	1.0	2.0	0.3	50	81	1.7525641918182373
10	50	1.0	2.0	0.5	50	81	1.6482815742492676
20	50	1.0	1.0	0.5	50	81	3.2153470516204834
20	100	0.5	2.0	0.5	100	81	6.652207136154175
20	50	1.0	2.0	0.3	50	81	3.2640717029571533
10	100	1.0	2.0	0.3	50	81	3.2571401596069336
20	100	0.5	2.0	0.3	100	81	6.779978513717651
20	50	0.5	2.0	0.5	50	81	3.424074411392212
20	50	1.0	1.0	0.5	100	82	3.264209032058716
20	50	0.5	2.0	0.3	50	82	3.307058572769165
10	100	0.5	2.0	0.3	50	82	3.327960968017578
20	100	1.0	1.0	0.3	50	82	6.527493476867676
10	50	0.5	2.0	0.5	100	83	1.64390230178833
10	100	1.0	1.0	0.5	100	83	3.201848268508911
20	100	1.0	1.0	0.3	100	83	6.4346923828125
20	100	0.5	2.0	0.3	50	84	6.659149408340454
20	100	0.5	2.0	0.5	50	84	6.889398813247681
10	50	1.0	1.0	0.3	50	84	1.5749564170837402
10	100	1.0	1.0	0.3	50	84	3.316405773162842
10	100	1.0	1.0	0.3	100	84	3.2201664447784424
10	50	0.5	2.0	0.3	50	85	1.6684465408325195
20	50	0.5	2.0	0.5	100	85	3.3560900688171387
10	50	1.0	1.0	0.5	50	85	1.5572302341461182
10	100	0.5	2.0	0.3	100	86	3.4529879093170166
10	50	0.5	2.0	0.5	50	86	1.7006771564483643
20	50	1.0	1.0	0.3	100	86	3.2159323692321777
10	100	0.5	2.0	0.5	50	86	3.391662120819092
10	100	0.5	2.0	0.5	100	87	3.5332274436950684
10	50	0.5	2.0	0.3	100	87	1.7775158882141113
10	100	1.0	1.0	0.5	50	87	3.28965163230896
10	50	1.0	1.0	0.5	100	87	1.8498096466064453
10	50	1.0	1.0	0.3	100	88	1.5710372924804688
20	50	0.5	2.0	0.3	100	89	3.3426907062530518
10	100	0.5	1.0	0.5	100	94	3.3420186042785645
10	100	0.5	1.0	0.3	100	101	3.3172550201416016
20	50	0.5	1.0	0.5	100	101	3.2744193077087402
10	50	0.5	1.0	0.5	100	101	1.6179211139678955
10	100	0.5	1.0	0.5	50	103	3.405158281326294
20	100	0.5	1.0	0.5	100	104	6.56786584854126
20	100	0.5	1.0	0.3	50	108	6.545105934143066
20	100	0.5	1.0	0.5	50	110	6.564884185791016
20	100	0.5	1.0	0.3	100	112	6.741158723831177
20	50	0.5	1.0	0.5	50	113	3.3095293045043945
10	50	0.5	1.0	0.5	50	114	1.633171558380127
10	50	0.5	1.0	0.3	50	115	1.7756390571594238
10	100	0.5	1.0	0.3	50	116	3.280377149581909
10	50	0.5	1.0	0.3	100	118	1.6968204975128174
20	50	0.5	1.0	0.3	100	122	3.225092649459839
20	50	0.5	1.0	0.3	50	132	3.2710535526275635
